Letter	Overall	1	2	3	4	5
A	906	140	304	288	136	38
B	266	173	16	52	16	9
C	446	198	40	50	132	26
D	370	111	20	69	56	114
E	1053	72	240	157	237	347
F	206	135	8	20	30	13
G	299	115	11	67	67	39
H	377	69	144	9	28	127
I	646	34	201	261	142	8
J	27	20	2	3	2	0
K	202	20	10	12	53	107
L	645	87	199	106	131	122
M	298	107	38	56	59	38
N	548	37	87	128	172	124
O	672	41	279	216	90	46
P	345	141	61	48	41	54
Q	29	23	5	1	0	0
R	835	105	267	157	132	174
S	617	365	16	73	149	14
T	667	149	77	101	111	229
U	456	33	185	163	74	1
V	148	43	15	48	42	0
W	193	82	44	26	25	16
X	37	0	14	12	3	8
Y	416	6	22	29	3	356
Z	35	3	2	11	15	4
